Search Term,均值,方差,斜率
hammock chair,3110.6822,0.0933,{'11': 0.58}
spatula,2228.9648,0.0684,"{'11': 0.513, '6': 0.111}"
teacher planner,25062.179,0.1183,"{'3': 0.225, '11': 0.591}"
women's shorts,15997.6978,0.0766,{'11': 1.099}
looney tunes,6618.8926,0.0673,"{'10': 0.384, '6': 0.222}"
bucket hats for men,40103.1278,0.1026,{'4': 0.115}
monster hunter,4542.2024,0.0726,{'11': 0.938}
bluetooth mouse,2207.7014,0.0534,"{'11': 0.46, '6': 0.308}"
hair dye,1706.1037,0.0531,"{'8': 0.199, '11': 0.738}"
belly button rings,9711.8288,0.0999,"{'10': 0.239, '4': 0.349, '6': 0.255}"
decor,1975.4423,0.0567,"{'11': 0.593, '6': 0.123}"
flip flops,6285.582,0.143,{'11': 0.539}
high waisted bikini,3905.0879,0.0917,"{'3': 0.089, '11': 0.621, '7': 0.095}"
skateboard,1381.6004,0.0873,"{'10': 0.26, '3': 0.124}"
thermos,1686.8625,0.0956,"{'11': 0.226, '6': 0.15}"
alone,2826.643,0.0875,"{'11': 0.66, '4': 0.237}"
vinyl records,1711.3067,0.0522,"{'10': 0.117, '4': 0.989}"
exfoliating gloves,19749.5211,0.1174,"{'3': 0.177, '11': 0.61, '5': 0.551}"
cake,1486.4965,0.0532,{'11': 0.808}
hotel transylvania,2258.1495,0.0718,"{'8': 0.204, '11': 0.7, '4': 0.244}"
"plus size swim suits, women",53785.729,0.1106,"{'8': 0.503, '11': 0.201}"
superman,2380.3295,0.0643,"{'11': 0.735, '6': 0.166}"
tripod,1457.5984,0.0659,"{'8': 0.152, '11': 0.489, '4': 0.313}"
popsicles molds,4099.9328,0.1038,{'11': 0.789}
hoodie,1364.7974,0.1085,"{'8': 0.423, '11': 0.07}"
ball pit,2033.6744,0.0662,"{'10': 0.154, '6': 0.188}"
step stool,1259.3719,0.0652,"{'11': 0.424, '5': 0.392, '7': 0.49}"
living room chairs,1627.9709,0.0629,"{'10': 0.217, '6': 0.148}"
bathroom wall decor,2970.2895,0.0697,"{'2': 0.27, '11': 0.515, '6': 0.146}"
fortnite backpack,41953.6522,0.1206,"{'10': 0.629, '2': 0.382, '5': 0.346}"
pimple patches,2203.1253,0.0605,"{'2': 0.198, '11': 0.512, '5': 0.131}"
deep fryer,2064.0128,0.0597,"{'11': 0.289, '6': 0.342}"
womens dresses for summer,41725.9023,0.1098,{'9': 1.0}
sword,1703.0567,0.0471,"{'8': 0.576, '11': 0.489, '6': 0.111}"
foot spa,1946.8572,0.0566,"{'8': 0.335, '6': 0.217}"
adult sex toys & games,2820.6745,0.0794,{'11': 0.606}
baby girl stuff,1813.8506,0.0677,{'11': 0.835}
hoverboards,24233.3665,0.0877,"{'10': 0.243, '4': 0.532}"
tortillas,1785.1084,0.0558,"{'11': 0.927, '6': 0.143}"
magnesium glycinate,2346.4333,0.0705,"{'3': 0.126, '11': 0.792, '6': 0.162}"
folding table,1351.0912,0.1004,"{'2': 0.092, '11': 0.544}"
dorm room essentials for college students,60830.7427,0.0928,{'10': 0.885}
bookbags,39169.127,0.114,"{'2': 0.341, '11': 0.32, '5': 0.379}"
dog kennel,2212.4199,0.0591,{'11': 0.536}
slime licker,8883.051,0.0948,"{'10': 0.434, '6': 0.135}"
cat treats,1793.5858,0.0644,"{'11': 0.438, '7': 0.103}"
ring cameras for outside,35275.1833,0.1227,{'10': 0.47}
shoe rack for entryway,5076.0173,0.0775,"{'11': 0.135, '5': 0.164}"
anime stickers,1631.6204,0.0483,"{'11': 0.279, '7': 0.579}"
kids face masks,13198.4331,0.1557,{'5': 0.467}
skin care products,8617.9459,0.0667,{'8': 0.442}
green tea mask stick,39732.1747,0.0732,{}
spiral,13967.3443,0.095,"{'11': 0.394, '4': 0.519}"
milwaukee bucks shirt,141156.2546,0.1801,{'11': 0.537}
game of thrones,1285.7481,0.063,"{'8': 0.329, '10': 0.207, '3': 0.335}"
cooling blanket,6619.5429,0.0971,"{'11': 0.401, '6': 0.149}"
gothic clothes,66372.1137,0.1448,{'2': 0.207}
cute school supplies,20024.1074,0.1164,"{'11': 0.385, '4': 0.084}"
